perturbation,condition,cpm_pert,cpm_ctrl,n_cells,self_log2fc
SLC26A2,IFNγ,7.198316313814199,14.517347180433834,228,-0.9204823785474724
SGK1,IFNγ,37.45155846439476,56.355292307660015,230,-0.5768845405913242
CTSD,IFNγ,39.841599459120104,153.9013708923341,268,-1.9232386401980854
P2RX4,IFNγ,5.630319948561397,4.197787136510988,102,0.35118093706202036
AHNAK,IFNγ,139.16689683413972,251.09763388229896,200,-0.8468369087242084
PROS1,IFNγ,3.5137577671615445,9.480002616620649,149,-1.2152381742416158
EVA1A,IFNγ,31.84883700666602,43.622004660243356,183,-0.4419130349512899
MC1R,IFNγ,3.296250515039143,2.2038382466682687,219,0.4232768078266167
FBL,IFNγ,113.21735416189567,135.72845074718862,84,-0.2595316030870275
LCP1,IFNγ,0.8068537383954261,2.8160155374094544,274,-1.0785873181531997
LY96,IFNγ,2.252810380950235,4.530111951484774,233,-0.7656219621584553
NPC1,IFNγ,12.969311262633573,30.25904894235004,234,-1.1620129925202518
NSG1,IFNγ,1.934091013487867,1.5391886167206956,215,0.20854605747120564
STAT3,IFNγ,71.35191234918801,139.96121944317053,187,-0.9621952554923447
RBP7,IFNγ,0.0,0.22738013656101186,234,-0.29558214076599176
CDK4,IFNγ,44.05439684635784,94.48519213096816,196,-1.0836091118370554
SCARB2,IFNγ,54.298348619756275,124.62180561516995,206,-1.1837786081974666
TAPBP,IFNγ,83.9035717226085,143.0920690158183,201,-0.7630937787457474
FSTL3,IFNγ,17.89673417897483,25.921335567955353,258,-0.5106130610934551
DDR1,IFNγ,6.9104520587388425,16.248934374244616,217,-1.1246751881811552
SERPINF1,IFNγ,0.0,0.13992623788369962,201,-0.18894047379150988
JPT1,IFNγ,247.72767915549633,459.5702375492759,140,-0.8888541220489473
AGA,IFNγ,8.401459543559204,28.142664594359083,211,-1.6321761404016804
JMJD7,IFNγ,0.0,0.0,254,0.0
AEBP1,IFNγ,6.726422522753175,20.306795272871906,258,-1.4634411363279496
FGFR1,IFNγ,38.28103739337215,64.17367084941174,288,-0.730456224725617
PYGB,IFNγ,16.77099884342223,34.64923465595112,177,-1.004346331857223
CMSS1,IFNγ,26.27690217300426,105.5043833643095,225,-1.9651610957044998
ARMC6,IFNγ,12.747343999825178,18.19041092488095,190,-0.48123268885878795
FOXM1,IFNγ,44.81114140766732,57.49219299046508,73,-0.3525455708662925
NPC2,IFNγ,146.71104144108514,342.53943033929664,211,-1.217698024409197
S100B,IFNγ,0.9079947118387982,0.05247233920638735,225,0.858274855534614
SHMT2,IFNγ,29.07372353981863,46.99772514918761,173,-0.6744625265418596
DNMT1,IFNγ,107.01889024227106,201.21393007676005,72,-0.9045987531716887
SDCBP,IFNγ,58.127021681379084,149.7035837558231,212,-1.3498242115801962
EIF4A1,IFNγ,356.71067603446096,374.02283386312905,22,-0.06818526221860108
DLL3,IFNγ,15.711587954989849,15.479340065884267,212,0.020190357216867662
FKBP4,IFNγ,62.16120472425157,204.62463212517522,168,-1.7029025035306773
PSMB8-AS1,IFNγ,19.63267269389718,24.11978525520272,186,-0.28389341525296247
CDH19,IFNγ,0.0,0.017490779735462453,251,-0.02501572118420657
CDKN2A,IFNγ,307.3067243495081,132.40520259745074,215,1.2085514253042913
ITGA3,IFNγ,138.2915910609612,276.6341722960741,199,-0.9950769853289226
LGALS3,IFNγ,366.9009627659001,663.8450540797419,184,-0.8537006997775451
ENPP1,IFNγ,1.4219519038988027,3.0783772334413912,231,-0.7518250093029946
BOLA2B,IFNγ,4.500255614518904,4.827455206987636,125,-0.08336734319166152
HLA-C,IFNγ,305.8335860883632,805.5903330559295,164,-1.3943797059421839
TMED10,IFNγ,87.7834180499589,155.6329580861449,63,-0.8190256539528147
KDR,IFNγ,0.40484666230241967,2.798524757673992,266,-1.4350265541122316
CD151,IFNγ,44.741882359824544,94.03043185784614,199,-1.0548738492148488
HLA-E,IFNγ,218.7016908936211,653.8403280710573,187,-1.5755971990853228
RNASEH2A,IFNγ,1.6854140893876217,2.0289304493136444,127,-0.17366388301398042
EIF3K,IFNγ,213.1466552681212,381.61383226831975,182,-0.8372898868694874
SEC11C,IFNγ,107.90316642899761,173.70093355287761,210,-0.6818414156908655
SPINT1,IFNγ,0.0,0.4372694933865613,211,-0.5233305978562404
CTPS1,IFNγ,35.76613863178872,62.564519113749185,102,-0.7898440313323547
SLIRP,IFNγ,499.43070844840554,623.266445093469,147,-0.3189915998560943
S100A6,IFNγ,5064.680441630464,8885.211160936513,212,-0.8108123538013765
CGAS,IFNγ,16.715412423436636,38.427243078811,232,-1.1541877820840227
TP53,IFNγ,1.512357472911157,2.1513659074618814,209,-0.32693552256497965
E2F1,IFNγ,18.3690325980653,34.176983603093625,148,-0.8608798790464601
GPATCH4,IFNγ,110.46473382343268,186.5566566584425,161,-0.750739137249316
STOM,IFNγ,24.089884175836882,65.85278570401613,247,-1.4138818668109283
C19orf48,IFNγ,47.117920582345555,56.162893730569934,260,-0.24850465341863853
IFNGR2,IFNγ,52.644393701098295,76.88946771709294,253,-0.5380008541089473
ST6GALNAC2,IFNγ,0.0,0.1049446784127747,182,-0.14397413959181968
PFN1,IFNγ,683.4188118082992,1162.6820921351311,99,-0.7657456611553448
RPSA,IFNγ,1428.0432846010742,1755.269709572599,120,-0.29746480073700643
DDX39A,IFNγ,55.95904096649471,126.51080982659991,152,-1.1626227972390817
ILF2,IFNγ,215.44664507803347,364.3329418896829,48,-0.7552004077022691
CTSL,IFNγ,303.56515345417847,779.249218774323,189,-1.3571841210220523
NOLC1,IFNγ,41.447866068128775,63.63145667761239,81,-0.6065444790694312
SMAD3,IFNγ,38.83444289959626,58.31425963803181,243,-0.5743625838751923
RNF213,IFNγ,298.0772285749771,464.64256367256,194,-0.6387048694560536
NME1,IFNγ,499.77690425876773,717.7341464447017,207,-0.5212902019275444
TRIM22,IFNγ,8.829676795987794,15.549303184826117,170,-0.7515545870237995
EEA1,IFNγ,34.0125342487324,52.92709947950938,169,-0.6231389496831559
